category,rating,reviews,installs,type,price,content_rating,app_size,last_updated_encoded
Tools,4.7,11.936178099526511,15.424948470398375,Free,0.0,Everyone,11.0,3109
Tools,4.6,5.2832037287379885,10.819778284410283,Free,0.0,Everyone,3.4,3086
Education/Business,4.9,11.799126441140212,13.815510557964274,Free,0.0,Everyone,26.0,3122
Tools,3.9,9.424483541093094,13.815510557964274,Free,0.0,Everyone,5.3,2282
Social,3.9,7.269616749608169,11.512925464970229,Free,0.0,Everyone,0.01953125,1333
Lifestyle,4.4,11.532306434753922,15.424948470398375,Free,0.0,Everyone,8.2,3034
Lifestyle,4.8,4.6443908991413725,9.210340371976184,Free,0.0,Everyone,12.0,3098
Education/Business,4.2,7.415175109613295,11.512925464970229,Free,0.0,Everyone,46.0,3135
Entertainment,3.1,8.895629627136483,13.815510557964274,Free,0.0,Teen,46.0,2933
Lifestyle,4.4,14.058749242810151,16.11809565095832,Free,0.0,Teen,91.0,3105
Education/Business,4.0,9.398726833332388,13.815510557964274,Free,0.0,Everyone,42.0,3066
Tools,4.3,10.567360390392079,13.815510557964274,Free,0.0,Everyone,8.6,3130
Lifestyle,4.0,1.9459101490553132,6.214608098422191,Free,0.0,Everyone,2.6,2725
Education/Business,4.0,12.5882008882739,16.11809565095832,Free,0.0,Everyone 10+,25.0,3139
Tools,4.3,2.772588722239781,6.907755278982137,Free,0.0,Everyone,40.0,3072
Entertainment,4.1,9.665547571979161,13.815510557964274,Free,0.0,Everyone,10.0,1715
Tools,3.4,5.123963979403259,9.210340371976184,Free,0.0,Everyone,53.0,3042
Lifestyle,4.2,7.415175109613295,9.210340371976184,Paid,9.99,Everyone,63.0,2989
Education/Business,3.2,4.820281565605037,9.210340371976184,Free,0.0,Everyone,7.2,2924
Tools,4.5,1.3862943611198906,2.302585092994046,Free,0.0,Everyone,1.7,2980
Lifestyle,3.3,7.938088726896952,11.512925464970229,Free,0.0,Teen,15.0,3113
Lifestyle,4.8,5.14166355650266,6.907755278982137,Paid,10.0,Everyone,1.0,2482
Tools,4.6,4.189654742026425,8.517193191416238,Paid,0.99,Everyone,2.6,1431
Tools,4.3,6.095824562432225,9.210340371976184,Paid,0.99,Everyone,12.0,1417
Tools,4.7,2.302585092994046,6.907755278982137,Free,0.0,Everyone,7.1,2610
Entertainment,4.2,4.204692619390966,9.210340371976184,Free,0.0,Everyone,15.0,2644
Entertainment,4.4,8.694167141883597,13.815510557964274,Free,0.0,Everyone,5.7,3069
Tools,4.1,10.431936961055667,13.815510557964274,Free,0.0,Everyone,17.0,3136
Lifestyle,2.8,3.044522437723423,6.907755278982137,Free,0.0,Everyone,57.0,3017
Tools,4.2,12.616236696294804,15.424948470398375,Free,0.0,Everyone,48.0,3134
Lifestyle,3.4,7.801800401908973,13.122363377404328,Free,0.0,Everyone,34.0,3113
Lifestyle,4.4,9.15302900526307,11.512925464970229,Free,0.0,Teen,21.0,2537
Lifestyle,4.4,4.143134726391533,8.517193191416238,Free,0.0,Everyone,0.4072265625,2592
Education/Business,3.8,9.599676098154463,17.72753356339242,Free,0.0,Everyone,8.6,2952
Lifestyle,4.3,5.8944028342648505,6.907755278982137,Paid,2.99,Everyone 10+,14.0,1326
Entertainment,3.3,7.297091005160418,13.122363377404328,Free,0.0,Teen,18.0,3083
Lifestyle,4.5,8.541495483939203,13.122363377404328,Free,0.0,Everyone,14.0,3130
Tools,4.3,6.2422232654551655,10.819778284410283,Free,0.0,Everyone,8.4,2964
Lifestyle,4.5,9.112286431500795,13.122363377404328,Free,0.0,Everyone,15.0,3036
Lifestyle,4.4,2.6390573296152584,6.907755278982137,Free,0.0,Everyone,5.5,3007
Lifestyle,4.6,7.633853559681768,10.819778284410283,Free,0.0,Everyone,8.4,3059
Entertainment,4.8,2.8903717578961645,4.605170185988092,Free,0.0,Everyone,1.7,3033
Tools,4.2,9.404837504700271,13.815510557964274,Free,0.0,Everyone,0.115234375,1850
Lifestyle,4.4,11.771760431864289,13.815510557964274,Free,0.0,Everyone,63.0,3125
Tools,4.4,2.1972245773362196,3.912023005428146,Paid,2.99,Everyone,33.0,3044
Tools,4.7,8.215006432761575,10.819778284410283,Free,0.0,Everyone,29.0,2778
Entertainment,4.5,12.889396737141357,16.11809565095832,Free,0.0,Teen,26.0,3071
Lifestyle,4.3,5.575949103146316,9.210340371976184,Free,0.0,Everyone,60.0,3133
Tools,3.3,9.043695294567236,16.11809565095832,Free,0.0,Everyone,8.9,3044
Tools,4.1,6.182084906716632,11.512925464970229,Free,0.0,Everyone,2.9,2986
Lifestyle,4.7,9.1958356857733,11.512925464970229,Free,0.0,Everyone,55.0,2223
Social,4.2,3.1780538303479458,6.907755278982137,Free,0.0,Mature 17+,4.9,3113
Education/Business,4.3,9.48562086171022,13.815510557964274,Free,0.0,Everyone 10+,25.0,3078
Education/Business,4.7,10.344480666703438,13.122363377404328,Paid,3.99,Everyone,24.0,3108
Tools,4.6,10.79914691380121,13.815510557964274,Free,0.0,Everyone,14.0,3137
Tools,3.9,3.784189633918261,9.210340371976184,Free,0.0,Everyone,3.3,2605
Social,4.5,12.629204113811793,16.11809565095832,Free,0.0,Teen,39.0,3129
Education/Business,4.4,10.94899789464713,13.815510557964274,Free,0.0,Everyone,97.0,2572
Lifestyle,3.8,3.6635616461296463,6.907755278982137,Free,0.0,Everyone,2.9,2911
Education/Business,4.6,8.33302993974291,13.122363377404328,Free,0.0,Everyone,48.0,3122
Lifestyle,3.1,6.042632833682381,11.512925464970229,Free,0.0,Everyone,53.0,2989
Lifestyle,4.1,5.627621113690637,10.819778284410283,Free,0.0,Everyone,7.2,3122
Entertainment,3.9,8.155936337972394,16.11809565095832,Free,0.0,Everyone,3.0,2162
Education/Business,5.0,1.6094379124341003,4.605170185988092,Free,0.0,Everyone,14.0,3000
Lifestyle,4.1,5.236441962829949,9.210340371976184,Free,0.0,Everyone,4.6,3108
Lifestyle,5.0,1.0986122886681098,6.214608098422191,Free,0.0,Everyone,5.5,3115
Tools,3.9,7.186901020411631,11.512925464970229,Free,0.0,Everyone,4.2,2489
Education/Business,4.4,10.844841560003951,13.815510557964274,Free,0.0,Everyone,6.1,3121
Tools,4.4,9.692272572087193,13.815510557964274,Free,0.0,Everyone,1.6,2385
Entertainment,4.0,11.700168226083251,16.11809565095832,Free,0.0,Everyone 10+,77.0,3133
Social,4.2,8.341648618901306,11.512925464970229,Free,0.0,Mature 17+,24.0,3127
Lifestyle,4.3,8.915029272359911,11.512925464970229,Free,0.0,Everyone,33.0,2463
Lifestyle,4.6,2.6390573296152584,6.907755278982137,Free,0.0,Everyone,4.0,3023
Lifestyle,4.7,10.44228820075763,13.815510557964274,Free,0.0,Everyone,24.0,3135
Tools,4.4,4.007333185232471,8.517193191416238,Free,0.0,Everyone,1.4,2811
Tools,4.6,5.402677381872279,9.210340371976184,Free,0.0,Everyone,10.0,2401
Lifestyle,4.2,3.970291913552122,8.517193191416238,Free,0.0,Everyone,16.0,3097
Entertainment,3.8,10.484193653750324,15.424948470398375,Free,0.0,Everyone,55.0,2905
Tools,3.5,4.356708826689592,9.210340371976184,Free,0.0,Everyone,3.3,1379
Education/Business,3.9,5.655991810819852,9.210340371976184,Free,0.0,Everyone,18.0,2828
Lifestyle,3.4,7.27931883541462,11.512925464970229,Free,0.0,Everyone,9.7,1404
Lifestyle,3.8,2.995732273553991,6.907755278982137,Free,0.0,Everyone,36.0,2785
Tools,4.6,7.603897968521881,10.819778284410283,Free,0.0,Everyone,69.0,3136
Education/Business,4.4,3.2188758248682006,8.517193191416238,Free,0.0,Everyone,7.9,2940
Entertainment,4.2,9.101417964751995,13.815510557964274,Free,0.0,Everyone,35.0,2944
Education/Business,3.8,4.890349128221754,9.210340371976184,Free,0.0,Everyone,14.0,3120
Tools,4.5,6.220590170099739,10.819778284410283,Free,0.0,Everyone,22.0,3082
Entertainment,4.6,8.276394704863307,13.122363377404328,Free,0.0,Everyone,3.3,3128
Social,4.0,11.21851413510048,15.424948470398375,Free,0.0,Everyone,5.3,3060
Education/Business,4.2,4.812184355372417,9.210340371976184,Free,0.0,Everyone,3.3,3039
Lifestyle,3.8,6.118097198041348,11.512925464970229,Free,0.0,Everyone,18.0,3098
Lifestyle,4.8,12.967242894136364,16.11809565095832,Free,0.0,Everyone,15.0,3100
Lifestyle,4.0,8.540519016719735,13.815510557964274,Free,0.0,Everyone,11.0,2982
Tools,4.5,13.34538532132466,16.11809565095832,Free,0.0,Everyone,24.0,3134
Entertainment,4.3,5.480638923341991,10.819778284410283,Free,0.0,Teen,65.0,2832
Entertainment,4.2,9.125109227613523,13.815510557964274,Free,0.0,Mature 17+,49.0,3094
Lifestyle,4.4,9.791326185647797,13.815510557964274,Free,0.0,Everyone,28.0,3118
Education/Business,2.2,3.1354942159291497,6.907755278982137,Free,0.0,Everyone,33.0,3078
Lifestyle,4.0,3.091042453358316,9.210340371976184,Free,0.0,Everyone,2.5,2440
Lifestyle,4.4,2.0794415416798357,6.214608098422191,Free,0.0,Everyone,6.8,2870
Tools,4.2,8.97903863296051,13.815510557964274,Free,0.0,Everyone,21.0,2929
Tools,4.7,11.960236043668287,15.424948470398375,Free,0.0,Everyone,14.0,3136
Lifestyle,4.6,10.820977564985766,13.815510557964274,Free,0.0,Everyone,98.0,3140
Tools,3.7,6.947937068614969,11.512925464970229,Free,0.0,Everyone,28.0,3132
Education/Business,4.4,10.36135533943734,16.11809565095832,Free,0.0,Everyone,37.0,3122
Tools,1.8,3.4011973816621555,6.214608098422191,Free,0.0,Everyone,0.8662109375,2338
Tools,3.7,1.0986122886681098,4.605170185988092,Free,0.0,Everyone,7.5,2981
Lifestyle,4.2,10.05586523295701,13.815510557964274,Free,0.0,Everyone,20.0,2818
Social,4.3,6.1903154058531475,10.819778284410283,Free,0.0,Everyone,2.5,2148
Tools,4.4,10.391975538580404,13.815510557964274,Free,0.0,Everyone,8.4,3065
Tools,3.9,10.128030124764045,13.815510557964274,Free,0.0,Everyone,14.0,2484
Entertainment,4.6,9.642317574624458,13.815510557964274,Free,0.0,Everyone,25.0,3135
Entertainment,4.2,12.192455349570988,16.11809565095832,Free,0.0,Everyone,24.0,2730
Education/Business,4.1,4.060443010546419,9.210340371976184,Free,0.0,Everyone,3.5,2741
Entertainment,4.6,5.71042701737487,9.210340371976184,Free,0.0,Teen,2.2,3105
Tools,4.7,11.35133551560147,13.815510557964274,Free,0.0,Everyone,2.8,3119
Education/Business,3.7,5.497168225293202,9.210340371976184,Free,0.0,Everyone,0.953125,2124
Lifestyle,4.0,7.984803389734406,13.122363377404328,Free,0.0,Everyone,45.0,2855
